papel,arquivo,status,tamanho_bytes,mtime,sha256,largura,altura,bandas,dtype,crs,res_graus,res_m_aprox,bounds,tags_arquivo,tags_bandas,ids_datas_cenas
DEM consolidado Q1Q4 (entrada do grafo),GNN_RESTRICAO_MOVIMENTO\data_raw\satelites_raw\dem\pacaraima_dem_consolidated_q1q4.tif,OK,49923320,2026-03-29 18:05,6c2c8282bf605e9ba072baf25c25f48cff4af504442217d8af0e27240942b7bb,3354,3598,1,float32,EPSG:4326,0.0002777778,30.92,"[-61.6138630116465, 3.9760659744444453, -60.682196344979836, 4.97551041888889]","{""AREA_OR_POINT"": ""Area""}",,NAO PERSISTIDO nas tags do raster
DEM tile GLO-30,GNN_RESTRICAO_MOVIMENTO\data_raw\satelites_raw\dem\tiles\pacaraima_q1q4\Copernicus_DSM_COG_10_N03_00_W061_00_DEM.tif,OK,43226299,2026-03-29 17:57,da01a5176ecad80e63f7f2185ab8df17e23d7cc95d9247b1630a3086b4528c59,3600,3600,1,float32,EPSG:4326,0.0002777778,30.92,"[-61.00013888888889, 3.0001388888888885, -60.00013888888889, 4.0001388888888885]","{""AREA_OR_POINT"": ""Point""}",,NAO PERSISTIDO nas tags do raster
DEM tile GLO-30,GNN_RESTRICAO_MOVIMENTO\data_raw\satelites_raw\dem\tiles\pacaraima_q1q4\Copernicus_DSM_COG_10_N03_00_W062_00_DEM.tif,OK,47312519,2026-03-29 17:55,6237f554193c9f203d9d02131c501ec327fd23ebb70b230b7b49ac2b2faa69f2,3600,3600,1,float32,EPSG:4326,0.0002777778,30.92,"[-62.00013888888889, 3.0001388888888885, -61.00013888888889, 4.0001388888888885]","{""AREA_OR_POINT"": ""Point""}",,NAO PERSISTIDO nas tags do raster
DEM tile GLO-30,GNN_RESTRICAO_MOVIMENTO\data_raw\satelites_raw\dem\tiles\pacaraima_q1q4\Copernicus_DSM_COG_10_N04_00_W061_00_DEM.tif,OK,44010454,2026-03-29 18:05,7bcb71849ab48ae3609e726ba523dd74aa7f57268293c67ceb0d97602326088d,3600,3600,1,float32,EPSG:4326,0.0002777778,30.92,"[-61.00013888888889, 4.0001388888888885, -60.00013888888889, 5.0001388888888885]","{""AREA_OR_POINT"": ""Point""}",,NAO PERSISTIDO nas tags do raster
DEM tile GLO-30,GNN_RESTRICAO_MOVIMENTO\data_raw\satelites_raw\dem\tiles\pacaraima_q1q4\Copernicus_DSM_COG_10_N04_00_W062_00_DEM.tif,OK,43777895,2026-03-29 18:01,ab826fdafad47d29fa1a1b43215840d27a9a544669328f8aa1dadfa21263eab5,3600,3600,1,float32,EPSG:4326,0.0002777778,30.92,"[-62.00013888888889, 4.0001388888888885, -61.00013888888889, 5.0001388888888885]","{""AREA_OR_POINT"": ""Point""}",,NAO PERSISTIDO nas tags do raster
Sentinel-2 mosaico Q1Q4 (entrada do grafo),GNN_RESTRICAO_MOVIMENTO\data_raw\satelites_raw\sentinel2\pacaraima\pacaraima_s2_10m_real_q1q4.tif,OK,570923645,2026-04-02 19:38,a3b93e6b8f799e3c915d936b951cc0c18a39fbb55dfc1253ade2caebd715899a,10370,11126,4,uint16,EPSG:4326,0.0000898338,10.00,"[-61.6138630116465, 3.9760673588888893, -60.682286988353496, 4.97551041888889]","{""bands"": ""B02,B03,B04,B08"", ""generated"": ""2026-04-02T19:37:52.924826"", ""source"": ""https://earth-search.aws.element84.com/v1"", ""version"": ""PACARAIMA-Q1Q4"", ""AREA_OR_POINT"": ""Area""}","{""banda_1"": {""name"": ""B02""}, ""banda_2"": {""name"": ""B03""}, ""banda_3"": {""name"": ""B04""}, ""banda_4"": {""name"": ""B08""}}",mosaico gerado em 2026-04-02T19:37:52.924826; fonte https://earth-search.aws.element84.com/v1; versao PACARAIMA-Q1Q4; IDs das cenas individuais NAO persistidos nas tags
"Sentinel-2 mosaico Q1Q4 (patched, gap-fill)",GNN_RESTRICAO_MOVIMENTO\data_raw\satelites_raw\sentinel2\pacaraima\pacaraima_s2_10m_real_q1q4_patched.tif,OK,696057763,2026-05-09 14:33,ed63d239b740bea330f84aaf11e0a64c4811ae00bbe3b4e7216552ef7c528200,10370,11126,4,uint16,EPSG:4326,0.0000898338,10.00,"[-61.6138630116465, 3.9760673588888893, -60.682286988353496, 4.97551041888889]","{""AREA_OR_POINT"": ""Area""}",,NAO PERSISTIDO nas tags do raster
Sentinel-2 checkpoint de quadrante,GNN_RESTRICAO_MOVIMENTO\data_raw\satelites_raw\sentinel2\pacaraima\_checkpoint_q1q4\NE.tif,OK,125317214,2026-04-02 19:37,648ea68b9024b37a05a3620a18e4c1f161d73ec6db701856c7e2379791850e95,5185,5563,4,uint16,EPSG:4326,0.0000898338,10.00,"[-61.148075, 4.475788888888889, -60.682286988353496, 4.97551041888889]","{""bbox"": ""[-61.148075, 4.475788888888889, -60.682286988353496, 4.97551041888889]"", ""generated"": ""2026-04-02T19:37:37.091599"", ""quadrant"": ""NE"", ""AREA_OR_POINT"": ""Area""}","{""banda_1"": {""name"": ""B02""}, ""banda_2"": {""name"": ""B03""}, ""banda_3"": {""name"": ""B04""}, ""banda_4"": {""name"": ""B08""}}",mosaico gerado em 2026-04-02T19:37:37.091599; fonte ?; versao ?; IDs das cenas individuais NAO persistidos nas tags
Sentinel-2 checkpoint de quadrante,GNN_RESTRICAO_MOVIMENTO\data_raw\satelites_raw\sentinel2\pacaraima\_checkpoint_q1q4\NW.tif,OK,148842357,2026-04-01 20:06,8122dbb7429c701148374a441f7d582c91ddfb8ed15a205009aab2be681cb28e,5185,5563,4,uint16,EPSG:4326,0.0000898338,10.00,"[-61.6138630116465, 4.475788888888889, -61.148075, 4.97551041888889]","{""bbox"": ""[-61.6138630116465, 4.475788888888889, -61.148075, 4.97551041888889]"", ""generated"": ""2026-04-01T20:06:06.777338"", ""quadrant"": ""NW"", ""AREA_OR_POINT"": ""Area""}","{""banda_1"": {""name"": ""B02""}, ""banda_2"": {""name"": ""B03""}, ""banda_3"": {""name"": ""B04""}, ""banda_4"": {""name"": ""B08""}}",mosaico gerado em 2026-04-01T20:06:06.777338; fonte ?; versao ?; IDs das cenas individuais NAO persistidos nas tags
Sentinel-2 checkpoint de quadrante,GNN_RESTRICAO_MOVIMENTO\data_raw\satelites_raw\sentinel2\pacaraima\_checkpoint_q1q4\SE.tif,OK,149266058,2026-04-01 20:03,aa3197f0543b5d6710469fb04fc133e747db5bcc17b33be21d8c87a788b7bce7,5185,5563,4,uint16,EPSG:4326,0.0000898338,10.00,"[-61.148075, 3.9760673588888893, -60.682286988353496, 4.475788888888889]","{""bbox"": ""[-61.148075, 3.9760673588888893, -60.682286988353496, 4.475788888888889]"", ""generated"": ""2026-04-01T20:03:15.072307"", ""quadrant"": ""SE"", ""AREA_OR_POINT"": ""Area""}","{""banda_1"": {""name"": ""B02""}, ""banda_2"": {""name"": ""B03""}, ""banda_3"": {""name"": ""B04""}, ""banda_4"": {""name"": ""B08""}}",mosaico gerado em 2026-04-01T20:03:15.072307; fonte ?; versao ?; IDs das cenas individuais NAO persistidos nas tags
Sentinel-2 checkpoint de quadrante,GNN_RESTRICAO_MOVIMENTO\data_raw\satelites_raw\sentinel2\pacaraima\_checkpoint_q1q4\SW.tif,OK,148030155,2026-04-01 19:47,f26623ba3654da14fa93f8fc80c5573fd50370cb44079580285aff56862d9cda,5185,5563,4,uint16,EPSG:4326,0.0000898338,10.00,"[-61.6138630116465, 3.9760673588888893, -61.148075, 4.475788888888889]","{""bbox"": ""[-61.6138630116465, 3.9760673588888893, -61.148075, 4.475788888888889]"", ""generated"": ""2026-04-01T19:46:47.111092"", ""quadrant"": ""SW"", ""AREA_OR_POINT"": ""Area""}","{""banda_1"": {""name"": ""B02""}, ""banda_2"": {""name"": ""B03""}, ""banda_3"": {""name"": ""B04""}, ""banda_4"": {""name"": ""B08""}}",mosaico gerado em 2026-04-01T19:46:47.111092; fonte ?; versao ?; IDs das cenas individuais NAO persistidos nas tags
